number,value,datetime_start,datetime_complete,duration,params_coef0,params_degree,params_gamma,params_kernel,params_nu,state
0,0.612922651080248,2026-09-01 08:05:27.235168,2026-09-01 08:05:28.621132,0 days 00:00:01.385964,0.2482102251210051,,scale,sigmoid,0.457771400966063,COMPLETE
1,0.5658607317090695,2026-09-01 08:05:28.684593,2026-09-01 08:05:29.267981,0 days 00:00:00.583388,0.56609806415636,,auto,sigmoid,0.20556463082979629,COMPLETE
2,0.5785106264504494,2026-09-01 08:05:29.344086,2026-09-01 08:05:29.926222,0 days 00:00:00.582136,0.6248217336516185,5.0,auto,poly,0.22997530625967222,COMPLETE
3,0.6292853370790552,2026-09-01 08:05:29.989694,2026-09-01 08:05:31.125054,0 days 00:00:01.135360,0.7267095670629896,5.0,auto,poly,0.491523066281521,COMPLETE
4,0.7764623942923243,2026-09-01 08:05:31.188700,2026-09-01 08:05:31.612174,0 days 00:00:00.423474,,,auto,rbf,0.10084813565750601,COMPLETE
5,0.5730186771182848,2026-09-01 08:05:31.675685,2026-09-01 08:05:32.556052,0 days 00:00:00.880367,0.3706378578800389,2.0,auto,poly,0.3603154487751809,COMPLETE
6,0.5643761540727543,2026-09-01 08:05:32.635477,2026-09-01 08:05:33.107099,0 days 00:00:00.471622,0.9798176953017798,,auto,sigmoid,0.14565524008727823,COMPLETE
7,0.574101799096141,2026-09-01 08:05:33.185978,2026-09-01 08:05:33.249453,0 days 00:00:00.063475,0.7555503030728158,,auto,sigmoid,0.020792508519115387,COMPLETE
8,0.7116308978955461,2026-09-01 08:05:33.312934,2026-09-01 08:05:33.571014,0 days 00:00:00.258080,0.25400855986968496,2.0,scale,poly,0.09588868773256108,COMPLETE
9,0.7837065583664438,2026-09-01 08:05:33.642964,2026-09-01 08:05:34.280247,0 days 00:00:00.637283,,,auto,rbf,0.15373239683064463,COMPLETE
10,0.8433141915922433,2026-09-01 08:05:34.359631,2026-09-01 08:05:35.589745,0 days 00:00:01.230114,,,scale,rbf,0.3080496987063302,COMPLETE
11,0.8438454243036045,2026-09-01 08:05:35.653394,2026-09-01 08:05:36.832817,0 days 00:00:01.179423,,,scale,rbf,0.2940477800340864,COMPLETE
12,0.8416989387919328,2026-09-01 08:05:36.912069,2026-09-01 08:05:38.217152,0 days 00:00:01.305083,,,scale,rbf,0.3263983485886668,COMPLETE
13,0.8417407009577457,2026-09-01 08:05:38.280760,2026-09-01 08:05:39.595149,0 days 00:00:01.314389,,,scale,rbf,0.3279138279929875,COMPLETE
14,0.8457094538766067,2026-09-01 08:05:39.658706,2026-09-01 08:05:40.761505,0 days 00:00:01.102799,,,scale,rbf,0.26886858076888487,COMPLETE
15,0.8453793980500212,2026-09-01 08:05:40.840672,2026-09-01 08:05:41.850657,0 days 00:00:01.009985,,,scale,rbf,0.2512665439328045,COMPLETE
16,0.8452792586631795,2026-09-01 08:05:41.929960,2026-09-01 08:05:42.950218,0 days 00:00:01.020258,,,scale,rbf,0.24839772685892178,COMPLETE
17,0.8317487659953585,2026-09-01 08:05:43.013728,2026-09-01 08:05:44.610525,0 days 00:00:01.596797,,,scale,rbf,0.41254427450599296,COMPLETE
18,0.8459847249265346,2026-09-01 08:05:44.674026,2026-09-01 08:05:45.733653,0 days 00:00:01.059627,,,scale,rbf,0.2604746957452837,COMPLETE
19,0.8389529641258504,2026-09-01 08:05:45.805952,2026-09-01 08:05:47.290472,0 days 00:00:01.484520,,,scale,rbf,0.38255857672953153,COMPLETE
20,0.8384419389140758,2026-09-01 08:05:47.364686,2026-09-01 08:05:48.136689,0 days 00:00:00.772003,,,scale,rbf,0.18738810715841675,COMPLETE
21,0.8457804046529339,2026-09-01 08:05:48.216200,2026-09-01 08:05:49.294963,0 days 00:00:01.078763,,,scale,rbf,0.2678487363406185,COMPLETE
22,0.8443290571270504,2026-09-01 08:05:49.374368,2026-09-01 08:05:50.509208,0 days 00:00:01.134840,,,scale,rbf,0.2835286233098968,COMPLETE
23,0.8461939848111452,2026-09-01 08:05:50.583701,2026-09-01 08:05:51.655542,0 days 00:00:01.071841,,,scale,rbf,0.26399670866749797,COMPLETE
24,0.8423042656684462,2026-09-01 08:05:51.734874,2026-09-01 08:05:52.590618,0 days 00:00:00.855744,,,scale,rbf,0.208153892639299,COMPLETE
25,0.8402749836543781,2026-09-01 08:05:52.663211,2026-09-01 08:05:54.068374,0 days 00:00:01.405163,,,scale,rbf,0.3599781626852693,COMPLETE
26,0.8311959786177712,2026-09-01 08:05:54.131772,2026-09-01 08:05:54.745858,0 days 00:00:00.614086,,,scale,rbf,0.14714970826769475,COMPLETE
27,0.8382461506958565,2026-09-01 08:05:54.803950,2026-09-01 08:05:55.577679,0 days 00:00:00.773729,,,scale,rbf,0.18579633375939192,COMPLETE
28,0.5842113866116783,2026-09-01 08:05:55.657067,2026-09-01 08:05:56.946734,0 days 00:00:01.289667,0.11197918313812238,,scale,sigmoid,0.41522143542005774,COMPLETE
29,0.685546159317723,2026-09-01 08:05:57.026140,2026-09-01 08:05:57.592954,0 days 00:00:00.566814,0.04074995066374354,3.0,scale,poly,0.23118152802330422,COMPLETE
30,0.5487297116704148,2026-09-01 08:05:57.672334,2026-09-01 08:05:58.872226,0 days 00:00:01.199892,0.9256219523313141,,scale,sigmoid,0.3338729017374857,COMPLETE
31,0.8455801258792508,2026-09-01 08:05:58.951612,2026-09-01 08:06:00.065763,0 days 00:00:01.114151,,,scale,rbf,0.2709570095440455,COMPLETE
32,0.8459874192598128,2026-09-01 08:06:00.133814,2026-09-01 08:06:01.206669,0 days 00:00:01.072855,,,scale,rbf,0.2660037875297539,COMPLETE
33,0.8433159878144286,2026-09-01 08:06:01.286235,2026-09-01 08:06:02.177646,0 days 00:00:00.891411,,,scale,rbf,0.21547784009572754,COMPLETE
34,0.8429818904879257,2026-09-01 08:06:02.236936,2026-09-01 08:06:03.458147,0 days 00:00:01.221211,,,scale,rbf,0.3018764299771709,COMPLETE
35,0.8462528110877202,2026-09-01 08:06:03.521790,2026-09-01 08:06:04.603161,0 days 00:00:01.081371,,,scale,rbf,0.26339410700522026,COMPLETE
36,0.6859857846976241,2026-09-01 08:06:04.675124,2026-09-01 08:06:05.111412,0 days 00:00:00.436288,0.4725324286869847,4.0,scale,poly,0.1714372852733187,COMPLETE
